c_0: Stopping Threshold,c_1: Stopping Speed
300,0
v_0: Veh 2 Distance,v_1: Veh 2 Speed
687,94.5
687,99.225
687,104.18625
687,109.3955625
687,114.8653406
687,120.6086077
687,126.639038
687,132.9709899
687,139.6195394
365,146.6005164
2550,153.9305422
2550,161.6270693
2550,165
2550,165
1122,165
1920,165
1791,165
1007,165
899,165
2550,165
1290,165
1965,165
1210,165
1183,165
1155,165
2550,165
1534,165
1466,90
1452,90
1426,90
2550,90
1397,94.5
1351,99.225
1376,104.18625
2550,109.3955625
2550,114.8653406
1397,90
1389,94.5
2550,99.225
2550,104.18625
2550,109.3955625
2550,114.8653406
2550,120.6086077
1337,126.639038
2550,90
2550,90
2550,90
1210,90
2550,90
893,94.5
2420,99.225
2550,104.18625
2550,109.3955625
1271,114.8653406
1702,120.6086077
1162,126.639038
1201,90
1196,90
1202,90
1254,90
2550,94.5
2550,99.225
1237,104.18625
2550,109.3955625
1227,114.8653406
1271,120.6086077
2354,126.639038
2550,132.9709899
2550,139.6195394
2271,146.6005164
2253,153.9305422
2238,161.6270693
1227,165
2550,165
2265,165
1155,165
1179,165
1119,165
2290,165
2116,165
2550,165
2100,165
1031,165
2550,165
2108,165
2550,165
2550,165
2550,165
970,165
2550,165
2550,165
1808,165
1762,165
1722,165
1694,165
1679,165
1650,165
1611,165
1603,165
1564,165
1536,165
1519,165
1472,165
1456,165
1435,165
1418,165
1387,165
1385,165
1385,165
1326,165
1326,165
1326,165
1254,165
1227,90
1210,90
1196,90
1202,90
1902,90
1877,94.5
1174,99.225
1168,104.18625
1139,109.3955625
1156,114.8653406
1800,120.6086077
1783,126.639038
1162,132.9709899
1767,139.6195394
1746,146.6005164
1718,153.9305422
1702,161.6270693
1672,90
1638,90
1633,90
1619,90
1089,90
1076,90
1093,94.5
1076,99.225
326,90
1173,94.5
2550,99.225
362,104.18625
2304,109.3955625
2550,114.8653406
1138,120.6086077
2550,126.639038
1525,132.9709899
1119,139.6195394
2550,146.6005164
2550,153.9305422
1166,161.6270693
2550,165
954,165
1111,165
1054,165
1046,165
2550,165
1012,165
972,165
984,165
1054,165
982,165
1024,165
899,165
921,165
2409,165
937,165
842,165
840,165
818,165
782,165
2550,165
780,165
765,165
757,165
757,165
748,165
1679,165
734,165
750,165
728,165
728,165
2550,165
2550,165
2124,165
2550,165
2550,165
2550,165
1372,165
2550,165
1288,165
1286,165
1255,165
2550,165
2282,165
2550,165
2550,165
2154,165
2550,90
1145,90
1119,90
1093,90
1058,90
1044,90
1052,90
595,90
605,94.5
559,99.225
574,104.18625
574,109.3955625
758,90
2550,90
2550,90
2550,90
1848,94.5
2550,99.225
1746,104.18625
2550,90
2550,90
864,90
864,90
864,90
758,90
658,90
654,94.5
639,99.225
660,104.18625
670,90
714,94.5
714,99.225
714,104.18625
689,109.3955625
698,114.8653406
681,120.6086077
728,126.639038
693,132.9709899
698,139.6195394
742,146.6005164
726,153.9305422
730,161.6270693
689,165
726,165
718,165
689,165
704,165
326,90
693,94.5
658,99.225
658,104.18625
658,109.3955625
658,114.8653406
705,120.6086077
710,126.639038
720,132.9709899
710,139.6195394
706,146.6005164
712,153.9305422
744,161.6270693
736,165
736,165
691,165
680,165
720,165
679,165
704,165
704,165
693,165
693,165
693,165
693,165
578,165
672,165
2550,165
2550,165
2550,165
2550,165
2167,165
2550,165
2550,165
1557,165
891,165
2550,165
1503,165
2550,165
2550,165
1422,165
1436,165
2550,165
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
563,94.5
592,99.225
635,104.18625
609,90
609,90
2550,90
2550,94.5
2550,99.225
2550,104.18625
2550,90
2550,90
674,90
654,90
740,90
2550,94.5
666,99.225
685,104.18625
697,109.3955625
693,114.8653406
679,120.6086077
651,126.639038
639,132.9709899
705,139.6195394
697,146.6005164
668,153.9305422
643,161.6270693
668,165
658,165
624,165
609,165
563,165
573,165
553,165
569,165
555,165
534,165
537,165
519,165
517,165
479,165
481,165
479,165
447,165
445,165
429,165
436,165
428,165
389,165
404,165
357,165
340,165
321,90
321,90
334,94.5
338,99.225
376,104.18625
357,109.3955625
326,90
328,90
357,94.5
321,90
392,94.5
340,99.225
340,104.18625
321,90
340,94.5
321,90
326,90
329,90
383,94.5
357,99.225
340,104.18625
329,90
389,94.5
408,99.225
408,104.18625
2550,109.3955625
353,114.8653406
340,120.6086077
345,126.639038
1316,132.9709899
939,139.6195394
1299,146.6005164
1389,153.9305422
1993,90
1944,90
1944,90
389,94.5
353,99.225
404,104.18625
2550,109.3955625
2550,114.8653406
383,120.6086077
383,90
2550,90
326,90
391,94.5
393,99.225
2550,104.18625
326,90
392,94.5
435,99.225
2550,104.18625
418,109.3955625
418,114.8653406
404,120.6086077
425,90
447,90
397,90
384,90
393,94.5
411,99.225
420,104.18625
404,109.3955625
384,114.8653406
401,120.6086077
411,126.639038
420,90
403,94.5
404,99.225
412,104.18625
425,109.3955625
427,114.8653406
435,120.6086077
439,126.639038
439,132.9709899
436,139.6195394
443,146.6005164
447,153.9305422
420,161.6270693
431,165
420,165
425,165
418,165
391,165
397,165
392,165
382,165
393,165
355,165
338,165
376,165
321,90
353,94.5
340,99.225
345,104.18625
410,109.3955625
380,114.8653406
370,120.6086077
364,126.639038
392,132.9709899
410,139.6195394
380,146.6005164
376,153.9305422
437,161.6270693
361,165
366,165
347,165
411,165
348,165
326,90
326,90
355,94.5
329,90
357,94.5
353,99.225
361,104.18625
412,109.3955625
411,114.8653406
382,120.6086077
393,126.639038
428,132.9709899
416,139.6195394
473,146.6005164
473,153.9305422
473,161.6270693
1288,165
1288,165
1232,165
1201,90
1183,90
1171,90
1171,90
1152,90
1152,90
1152,90
427,90
399,90
416,94.5
420,99.225
416,104.18625
424,109.3955625
469,90
469,94.5
469,99.225
184,90
184,90
185,90
179,90
166,90
162,90
166,0
170,0
174,0
184,0
205,0
220,0
321,90
243,90
225,90
212,90
213,90
217,90
217,90
221,0
219,0
233,0
271,0
321,90
321,90
321,90
326,90
259,90
271,90
271,90
281,90
294,90
322,90
326,90
326,90
340,94.5
340,99.225
345,104.18625
347,109.3955625
348,114.8653406
349,120.6086077
338,126.639038
334,132.9709899
330,90
330,90
329,90
338,94.5
334,99.225
353,104.18625
374,109.3955625
401,114.8653406
412,120.6086077
871,126.639038
460,132.9709899
847,139.6195394
847,146.6005164
831,153.9305422
835,161.6270693
796,165
796,165
772,165
764,165
788,165
780,165
750,165
788,165
762,165
762,165
861,165
748,165
748,165
748,165
2550,165
2550,165
921,165
921,165
2097,165
2550,165
872,165
794,165
762,165
978,165
978,165
947,165
894,165
887,165
865,165
856,165
856,165
1551,165
1507,165
1154,165
1127,165
1119,90
1054,90
1038,90
1024,90
1012,90
1028,90
2550,94.5
2550,99.225
2550,104.18625
2550,90
2550,90
2550,94.5
2550,99.225
2550,104.18625
2550,109.3955625
901,90
762,90
762,90
762,94.5
762,99.225
825,104.18625
757,109.3955625
757,114.8653406
757,120.6086077
764,90
764,90
749,90
750,90
750,90
740,94.5
744,99.225
754,104.18625
772,109.3955625
772,114.8653406
730,120.6086077
728,126.639038
728,132.9709899
728,139.6195394
740,146.6005164
721,153.9305422
718,161.6270693
710,165
661,165
689,165
680,165
680,165
586,165
609,165
598,165
618,165
567,165
597,165
562,165
562,165
555,165
565,165
559,165
603,165
618,165
483,165
515,165
525,165
525,165
456,165
456,165
420,165
460,165
437,165
397,165
397,165
357,165
357,165
403,165
340,165
326,90
334,94.5
326,90
340,94.5
429,99.225
1495,104.18625
2550,109.3955625
410,114.8653406
321,90
372,94.5
376,99.225
376,104.18625
372,109.3955625
2550,114.8653406
2550,90
376,90
348,94.5
380,99.225
399,104.18625
384,109.3955625
338,114.8653406
416,120.6086077
1648,126.639038
2550,132.9709899
2550,139.6195394
2550,90
2550,90
2550,90
403,90
456,90
380,94.5
399,99.225
401,104.18625
408,109.3955625
425,114.8653406
366,120.6086077
365,90
384,90
401,94.5
384,99.225
392,104.18625
401,109.3955625
410,114.8653406
420,120.6086077
448,126.639038
447,132.9709899
399,139.6195394
399,146.6005164
456,153.9305422
403,161.6270693
418,165
393,165
412,165
408,165
355,165
336,165
328,90
321,90
321,90
355,94.5
321,90
321,90
321,90
338,94.5
321,90
321,90
326,90
321,90
326,90
326,90
338,94.5
321,90
347,94.5
326,90
321,90
321,90
326,90
347,94.5
326,90
321,90
321,90
321,90
326,90
338,94.5
321,90
340,94.5
340,99.225
326,90
321,90
340,94.5
326,90
326,90
321,90
324,90
326,90
324,90
328,90
334,94.5
380,99.225
329,90
357,94.5
412,99.225
385,104.18625
345,109.3955625
349,114.8653406
376,120.6086077
410,126.639038
429,132.9709899
329,90
330,90
336,94.5
336,99.225
917,104.18625
1297,109.3955625
1295,114.8653406
1912,90
1718,90
1875,90
1875,94.5
397,99.225
420,104.18625
2550,109.3955625
2550,114.8653406
2550,120.6086077
2550,90
411,90
406,90
385,90
364,94.5
384,99.225
401,104.18625
401,109.3955625
1520,114.8653406
2550,120.6086077
392,126.639038
383,132.9709899
350,139.6195394
376,146.6005164
334,153.9305422
326,90
326,90
328,90
326,90
321,90
321,90
302,90
326,90
326,90
259,90
204,90
199,90
195,90
227,90
217,90
217,90
251,90
229,90
220,90
321,90
321,90
255,90
326,90
326,90
2550,90
326,90
349,90
376,90
2550,90
2550,90
326,90
2550,90
2550,90
2550,90
835,90
2550,90
2550,90
2550,90
2550,90
2550,94.5
2550,99.225
2550,104.18625
2550,109.3955625
1255,90
2550,90
326,90
229,90
324,90
326,90
174,90
156,90
156,90
113,90
185,90
326,90
2550,94.5
326,90
326,90
326,90
336,90
205,90
198,90
149,90
156,90
149,90
149,90
2550,94.5
174,90
191,90
199,90
199,90
175,90
197,90
145,90
154,0
149,0
128,0
175,0
206,0
209,0
213,0
204,0
241,0
326,90
263,90
249,90
302,90
235,90
273,90
242,90
251,90
273,90
234,90
326,90
326,90
267,90
243,90
251,90
326,90
336,94.5
326,90
326,90
326,90
326,90
326,90
1389,94.5
326,90
326,90
326,90
1334,94.5
1330,99.225
1330,104.18625
1288,109.3955625
1273,90
1262,90
1246,90
1245,90
1274,90
1777,90
326,90
321,90
263,90
345,94.5
259,90
288,90
326,90
303,90
289,90
326,90
297,90
286,90
349,94.5
303,90
289,90
321,90
321,90
321,90
304,90
321,90
321,90
326,90
297,90
303,90
321,90
340,94.5
321,90
321,90
321,90
326,90
336,94.5
338,99.225
321,90
348,94.5
353,99.225
372,104.18625
338,109.3955625
347,114.8653406
408,120.6086077
326,90
370,94.5
408,99.225
365,104.18625
406,109.3955625
392,114.8653406
427,120.6086077
437,126.639038
397,132.9709899
408,139.6195394
403,146.6005164
435,153.9305422
404,161.6270693
416,165
389,165
454,165
374,165
416,165
401,165
385,165
357,165
364,165
392,165
353,165
362,165
376,165
338,165
326,90
357,94.5
328,90
347,94.5
347,99.225
321,90
1680,94.5
2550,99.225
1458,104.18625
2550,109.3955625
1119,114.8653406
2550,120.6086077
2550,126.639038
2550,132.9709899
2550,139.6195394
2550,90
2550,90
1071,90
1054,90
1038,90
2550,90
2550,90
2320,90
385,90
321,90
334,94.5
345,99.225
353,104.18625
355,109.3955625
355,114.8653406
364,120.6086077
365,126.639038
385,132.9709899
353,139.6195394
366,146.6005164
403,153.9305422
376,161.6270693
389,165
349,165
334,165
337,165
364,165
321,90
326,90
321,90
365,94.5
347,99.225
334,104.18625
345,109.3955625
338,114.8653406
357,120.6086077
385,126.639038
355,132.9709899
376,139.6195394
374,146.6005164
384,153.9305422
374,161.6270693
365,165
348,165
374,165
376,165
321,90
347,94.5
330,90
338,94.5
355,99.225
338,104.18625
348,109.3955625
357,114.8653406
376,120.6086077
389,126.639038
406,132.9709899
391,139.6195394
410,146.6005164
404,153.9305422
401,161.6270693
391,165
370,165
334,165
357,165
372,165
383,165
326,90
347,94.5
345,99.225
321,90
2550,94.5
2550,99.225
2550,104.18625
2550,109.3955625
2550,114.8653406
2550,120.6086077
2550,126.639038
2550,132.9709899
1498,90
2000,90
2550,90
1736,90
2550,90
2550,90
2550,90
2550,90
2550,90
392,90
334,90
348,90
374,94.5
357,99.225
389,104.18625
365,109.3955625
397,114.8653406
428,120.6086077
355,126.639038
370,132.9709899
355,139.6195394
340,146.6005164
357,153.9305422
326,90
321,90
321,90
326,90
321,90
340,94.5
334,99.225
304,90
321,90
303,90
308,90
321,90
326,90
221,90
321,90
213,90
267,90
236,90
235,90
278,90
229,90
213,90
217,90
267,90
259,90
326,90
199,90
203,90
243,90
205,90
304,90
225,90
191,90
195,90
197,90
203,90
321,90
190,90
259,90
183,90
183,90
179,90
173,90
181,90
2550,90
184,90
164,90
1387,90
1387,90
2550,90
197,90
2550,90
1603,94.5
1295,99.225
1262,104.18625
1563,109.3955625
1680,90
217,90
1505,90
173,90
183,90
189,90
298,90
179,90
207,90
219,0
183,0
197,0
197,0
211,0
221,0
241,0
259,0
326,90
321,90
321,90
321,90
326,90
321,90
347,94.5
372,99.225
1179,104.18625
1246,109.3955625
347,114.8653406
338,90
338,90
338,90
349,94.5
328,90
340,94.5
1664,99.225
1662,104.18625
1627,109.3955625
326,90
334,90
1573,90
303,90
321,90
303,90
326,90
326,90
326,90
2550,94.5
382,99.225
389,90
2550,90
326,90
391,94.5
392,99.225
348,104.18625
376,109.3955625
389,114.8653406
329,90
321,90
329,90
321,90
321,90
326,90
340,94.5
376,99.225
374,104.18625
349,109.3955625
355,114.8653406
376,120.6086077
385,126.639038
385,132.9709899
357,139.6195394
389,146.6005164
412,153.9305422
384,161.6270693
338,165
334,165
353,165
328,90
330,90
349,94.5
328,90
372,94.5
330,90
349,94.5
370,99.225
372,104.18625
372,109.3955625
401,114.8653406
391,120.6086077
393,126.639038
381,132.9709899
385,139.6195394
428,146.6005164
393,153.9305422
393,161.6270693
365,165
454,165
383,165
393,165
349,165
353,165
362,165
334,165
364,165
329,90
349,94.5
330,90
338,94.5
349,99.225
347,104.18625
338,109.3955625
404,114.8653406
365,120.6086077
370,126.639038
462,132.9709899
365,139.6195394
389,146.6005164
357,153.9305422
416,161.6270693
376,165
374,165
404,165
404,165
1337,165
1317,165
1282,165
1271,165
1234,165
349,90
1189,90
1189,90
1171,90
340,90
348,90
326,90
330,90
340,94.5
376,99.225
401,104.18625
1797,109.3955625
1115,114.8653406
1763,120.6086077
1763,126.639038
1763,132.9709899
420,90
420,90
475,90
404,90
418,94.5
416,99.225
460,104.18625
464,109.3955625
460,114.8653406
447,90
420,90
439,90
437,90
446,94.5
448,99.225
462,104.18625
471,109.3955625
473,114.8653406
490,120.6086077
473,126.639038
479,132.9709899
498,139.6195394
475,146.6005164
492,153.9305422
473,161.6270693
456,165
455,165
462,165
448,165
456,165
445,165
437,165
420,165
416,165
425,165
412,165
412,165
420,165
361,165
374,165
374,165
382,165
372,165
348,165
338,165
376,165
329,90
326,90
330,90
329,90
374,94.5
357,99.225
361,104.18625
338,109.3955625
365,114.8653406
347,120.6086077
321,90
336,94.5
382,99.225
326,90
321,90
321,90
340,94.5
321,90
326,90
326,90
324,90
329,90
347,94.5
389,99.225
329,90
326,90
340,94.5
2332,99.225
384,104.18625
321,90
348,94.5
1273,99.225
1290,104.18625
1236,109.3955625
2253,114.8653406
347,120.6086077
1529,126.639038
2216,90
1145,90
1148,90
873,90
326,90
326,90
321,90
328,90
329,90
362,94.5
357,99.225
392,104.18625
357,109.3955625
971,114.8653406
962,120.6086077
968,126.639038
338,90
365,90
326,90
321,90
321,90
326,90
365,94.5
340,99.225
321,90
321,90
349,90
326,90
336,94.5
326,90
321,90
326,90
326,90
364,94.5
376,90
349,90
345,94.5
345,99.225
380,104.18625
338,109.3955625
340,114.8653406
349,120.6086077
347,126.639038
374,132.9709899
340,139.6195394
340,146.6005164
338,153.9305422
330,90
340,94.5
328,90
357,94.5
362,99.225
420,104.18625
355,109.3955625
389,114.8653406
380,120.6086077
403,126.639038
364,132.9709899
412,139.6195394
418,146.6005164
416,153.9305422
349,161.6270693
355,165
334,165
328,90
326,90
340,94.5
374,99.225
365,104.18625
357,109.3955625
365,114.8653406
387,120.6086077
397,126.639038
392,132.9709899
376,139.6195394
399,146.6005164
418,153.9305422
365,161.6270693
401,165
366,165
380,165
374,165
345,165
338,165
330,90
326,90
329,90
404,94.5
372,99.225
340,104.18625
372,109.3955625
2550,114.8653406
1595,120.6086077
1585,126.639038
410,132.9709899
411,139.6195394
411,146.6005164
1450,153.9305422
1450,161.6270693
1450,165
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
418,94.5
428,99.225
428,104.18625
2550,109.3955625
1702,114.8653406
2550,90
464,90
481,94.5
2550,99.225
2550,104.18625
2550,109.3955625
2550,114.8653406
2550,120.6086077
2550,126.639038
483,132.9709899
474,139.6195394
500,146.6005164
446,153.9305422
443,90
443,90
446,90
448,90
446,94.5
460,99.225
496,104.18625
455,109.3955625
500,114.8653406
464,120.6086077
471,126.639038
481,132.9709899
509,139.6195394
473,146.6005164
500,153.9305422
479,161.6270693
479,165
488,165
483,165
471,165
321,90
435,94.5
439,99.225
452,104.18625
428,109.3955625
425,114.8653406
433,120.6086077
439,126.639038
403,132.9709899
384,139.6195394
456,146.6005164
397,153.9305422
385,161.6270693
366,165
338,165
324,90
340,94.5
429,99.225
334,104.18625
326,90
326,90
321,90
340,94.5
326,90
326,90
328,90
321,90
326,90
321,90
321,90
340,94.5
357,99.225
328,90
334,94.5
349,99.225
329,90
321,90
404,94.5
329,90
329,90
365,94.5
357,99.225
326,90
328,90
365,94.5
340,99.225
328,90
420,94.5
403,99.225
326,90
334,94.5
347,99.225
425,104.18625
425,109.3955625
425,114.8653406
348,120.6086077
447,126.639038
1324,132.9709899